시작에들어가는가상글입	시작에들어가는가상글/NNP
하나은행	하나은행/NNP
학급이상	학급/NNG + 이상/NNG
학년때쯤	학년/NNG + 때/NNG + 쯤/XSN
학년이래	학년/NNG + 이래/NNB
학년이상	학년/NNG + 이상/NNG
학년짜리	학년/NNG + 짜리/XSN
학점이내	학점/NNG + 이내/NNG
학점짜리	학점/NNG + 짜리/XSN
할아버지	할아버지/NNG
합당합당	합당/NNG + 합당/NNG
호집자리	호/NNB + 집자리/NNG
회계연도	회계/NNG + 연도/NNG
bps	bps/SL
B정책	B/SL + 정책/NNG
cc급	cc/SL + 급/NNG
cc당	cc/SL + 당/XSN
cc차	c/SL + c/SL + 차/NNG
cfu	cfu/SL
cm당	cm/SL + 당/XSN
cm씩	cm/SL + 씩/XSN
cm쯤	cm/SL + 쯤/XSN
cup	cup/SL
C중반	C/SL + 중반/NNG
DX급	DX/SL + 급/NNG
D부문	D/SL + 부문/NNG
D산업	D/SL + 산업/NNG
D업종	D/SL + 업종/NNG
D영화	D/SL + 영화/NNG
D직종	D/SL + 직종/NNG
g짜리	g/SL + 짜리/XSN
ha중	ha/SL + 중/NNB
H클럽	H/SL + 클럽/NNG
Kev	Kev/SL
KGy	KGy/SL
kg급	kg/SL + 급/NNG
kG급	kG/SL + 급/NNG
kg씩	kg/SL + 씩/XSN
kg쯤	kg/SL + 쯤/XSN
KHz	KHz/SL
KHZ	KHZ/SL
kHz	kHz/SL
KHz	KHz/SL
km2	km/SL + 2/SN
km내	km/SL + 내/NNB
km당	km/SL + 당/XSN
km대	km/SL + 대/XSN
km씩	km/SL + 씩/XSN
km쯤	km/SL + 쯤/XSN
K이상	K/SL + 이상/NNG
l짜리	l/SL + 짜리/XSN
mg씩	mg/SL + 씩/XSN
MHz	MHz/SL
Mhz	Mhz/SL
mm포	mm/SL + 포/NNG
m가량	m/SL + 가량/NNG
m길이	m/SL + 길이/NNG
m높이	m/SL + 높이/NNG
m범위	m/SL + 범위/NNG
m아래	m/SL + 아래/NNG
m어간	m/SL + 어간/NNG
m정도	m/SL + 정도/NNG
M정도	M/SL + 정도/NNG
M제품	M/SL + 제품/NNG
m지점	m/SL + 지점/NNG
m짜리	m/SL + 짜리/XSN
one	one/SL
ppb	ppb/SL
ppm	ppm/SL
PPM	PPM/SL
R14	R/SL + 14/SN
rad	rad/SL
t짜리	t/SL + 짜리/XSN
t트럭	t/SL + 트럭/NNG
v짜리	v/SL + 짜리/XSN
W투어	W/SL + 투어/NNG
가구꼴	가구/NNG + 꼴/XSN
가구당	가구/NNG + 당/XSN
가구분	가구/NNG + 분/XSN
가구씩	가구/NNG + 씩/XSN
가마니	가마니/NNG
가마당	가마/NNG + 당/XSN
가마분	가마/NNG + 분/NNG
가지말	가지/NNB + 말/NNB
가지약	가지/NNB + 약/NNG
가지중	가지/NNB + 중/NNB
角關係	角關係/SH
각구조	각/NNG + 구조/NNG
각추형	각추/NNG + 형/XSN
각편대	각/NNG + 편대/NNG
간구조	간/NNB + 구조/NNG
간짜리	간/NNG + 짜리/XSN
강대결	강/NNG + 대결/NNG
강신화	강/NNG + 신화/NNG
강외교	강/NNG + 외교/NNG
강의실	강의실/NNG
强정책	强/SH + 정책/NNG
강진출	강/NNG + 진출/NNG
强體制	强體制/SH
강축하	강/NNG + 축하/NNG
강탈락	강/NNG + 탈락/NNG
개교당	개/NNB + 교/NNG + 당/XSN
개교씩	개/NNB + 교/NNG + 씩/XSN
개구단	개/NNB + 구단/NNG
개구역	개/NNB + 구역/NNG
개국간	개국/NNB + 간/NNB
개국뿐	개국/NNB + 뿐/NNB
개국어	개/NNB + 국어/NNG
개국중	개국/NNB + 중/NNB
개기업	개/NNB + 기업/NNG
개년간	개년/NNB + 간/NNG
개년치	개년/NNB + 치/XSN
개단지	개/NNB + 단지/NNG
개대대	개/NNB + 대대/NNG
개대학	개/NNB + 대학/NNG
개도시	개/NNB + 도시/NNG
개들이	개/NNB + 들이/XSN
개부문	개/NNB + 부문/NNG
개분야	개/NNB + 분야/NNG
개사당	개/NNB + 사/NNG + 당/XSN
개사씩	개/NNB + 사/NNG + 씩/XSN
개사중	개/NNB + 사/NNG + 중/NNB
개星霜	개/NNB + 星霜/SH
개소씩	개소/NNB + 씩/XSN
개市銀	개/NNB + 市銀/SH
개업체	개/NNB + 업체/NNG
개월간	개월/NNB + 간/NNB
개월간	개월/NNB + 간/NNG
개월경	개월/NNB + 경/XSN
개월내	개월/NNB + 내/NNB
개월당	개월/NNB + 당/XSN
개월래	개월/NNB + 래/NNB
개월만	개월/NNB + 만/NNB
개월분	개월/NNB + 분/XSN
개월씩	개월/NNB + 씩/XSN
개월여	개월/NNB + 여/XSN
개월용	개월/NNB + 용/XSN
개월전	개월/NNB + 전/NNG
개월째	개월/NNB + 째/XSN
개월쯤	개월/NNB + 쯤/NNG
개월쯤	개월/NNB + 쯤/XSN
개월치	개월/NNB + 치/XSN
개이상	개/NNB + 이상/NNG
개작품	개/NNB + 작품/NNG
개재벌	개/NNB + 재벌/NNG
개정도	개/NNB + 정도/NNG
개종목	개/NNB + 종목/NNG
개지구	개/NNB + 지구/NNG
개地區	개/NNB + 地區/SH
개지대	개/NNB + 지대/NNG
개지역	개/NNB + 지역/NNG
개질병	개/NNB + 질병/NNG
개짜리	개/NNB + 짜리/XSN
개찰구	개찰구/NNG
개체씩	개체/NNG + 씩/XSN
개품목	개/NNB + 품목/NNG
개호기	개/NNB + 호/NNB + 기/NNB
개회사	개/NNB + 회사/NNG
거래일	거래일/NNG
게임씩	게임/NNG + 씩/XSN
게임째	게임/NNG + 째/XSN
게임차	게임/NNG + 차/NNG
경기당	경기/NNG + 당/XSN
경기씩	경기/NNG + 씩/XSN
경기째	경기/NNG + 째/XSN
경기차	경기/NNG + 차/NNG
경비단	경비단/NNG
경비정	경비정/NNG
경주당	경주/NNG + 당/XSN
계절색	계절/NNG + 색/NNG
계절중	계절/NNG + 중/NNB
계파간	계파/NNG + 간/NNB
고지선	고지/NNG + 선/NNG
곡병풍	곡/NNG + 병풍/NNG
곡짜리	곡/NNG + 짜리/XSN
골프장	골프장/NNG
共권력	共/SH + 권력/NNG
공단절	공/NNG + 단절/NNG
공당시	공/NNG + 당시/NNG
공비리	공/NNG + 비리/NNG
共비리	共/SH + 비리/NNG
共非理	共非理/SH
공사업	공/NNG + 사업/NNG
공세력	공/NNG + 세력/NNG
공시기	공/NNG + 시기/NNG
공시대	공/NNG + 시대/NNG
공시절	공/NNG + 시절/NNG
공연탄	공연탄/NNG
공열차	공/NNG + 열차/NNG
공장장	공장장/NNG
공정권	공/NNG + 정권/NNG
공정부	공/NNG + 정부/NNG
공청산	공/NNG + 청산/NNG
共淸算	共淸算/SH
공초기	공/NNG + 초기/NNG
공화국	공화국/NNG
共和國	共和國/SH
과목씩	과목/NNG + 씩/XSN
관편성	관/NNG + 편성/NNG
광고팀	광고/NNG + 팀/NNG
구급대	구급대/NNG
구매장	구매장/NNG
구조대	구조대/NNG
국정부	국/NNG + 정부/NNG
국회담	국/NNG + 회담/NNG
군단장	군단장/NNG
군데쯤	군데/NNB + 쯤/XSN
권분립	권/XSN + 분립/NNG
권짜리	권/NNB + 짜리/XSN
그램쯤	그램/NNB + 쯤/NNG
그루씩	그루/NNB + 씩/XSN
그릇씩	그릇/NNG + 씩/XSN
극체제	극/NNG + 체제/NNG
極體制	極體制/SH
근짜리	근/NNB + 짜리/XSN
글로벌	글로벌/NNG
금융권	금융/NNG + 권/XSN
급시험	급/NNG + 시험/NNG
급이상	급/NNG + 이상/NNG
기계화	기계/NNG + 화/XSN
기교육	기/NNG + 교육/NNG
기동대	기동대/NNG
기병대	기병대/NNG
기의장	기/NNG + 의장/NNG
기체제	기/NNG + 체제/NNG
김시대	김/NNP + 시대/NNG
김정치	김/NNP + 정치/NNG
김청산	김/NNP + 청산/NNG
김체제	김/NNP + 체제/NNG
꼬챙이	꼬챙이/NNG
꿈나무	꿈/NNG + 나무/NNG
나노m	나노/NNG + m/SL
나절씩	나절/NNB + 씩/XSN
나한전	나한전/NNG
나흘날	나흘/NNG + 날/NNG
나흘째	나흘/NNG + 째/XSN
날개깃	날개깃/NNG
남1녀	남/NNG + 1/SN + 녀/NNG
남2녀	남/NNG + 2/SN + 녀/NNG
男2女	男/SH + 2/SN + 女/SH
남3녀	남/NNG + 3/SN + 녀/NNG
남4녀	남/NNG + 4/SN + 녀/NNG
남5녀	남/NNG + 5/SN + 녀/NNG
남대로	남/NNG + 대로/NNG
내무실	내무실/NNG
냥짜리	냥/NNB + 짜리/XSN
네마리	네/XSN + 마리/NNB
년가량	년/NNB + 가량/NNG
년간씩	년/NNB + 간/NNG + 씩/XSN
년개정	년/NNB + 개정/NNG
년고도	년/NNB + 고도/NNG
년고찰	년/NNB + 고찰/NNG
년공부	년/NNB + 공부/NNG
년공주	년/NNB + 공주/NNG
년과정	년/NNB + 과정/NNG
년기준	년/NNB + 기준/NNG
年基準	年基準/SH
년농사	년/NNB + 농사/NNG
년대경	년대/NNB + 경/XSN
년대관	년/NNB + 대관/NNG
년대말	년대/NNB + 말/NNB
년대생	년대/NNB + 생/XSN
년대선	년/NNB + 대선/NNG
년대식	년대/NNB + 식/NNB
년대적	년대/NNB + 적/XSN
년대쯤	년대/NNB + 쯤/XSN
년대초	년대/NNB + 초/NNB
년대판	년대/NNB + 판/NNB
년대풍	년대/NNB + 풍/XSN
년도분	년도/NNB + 분/XSN
년도판	년도/NNB + 판/NNG
년동안	년/NNB + 동안/NNG
년만기	년/NNB + 만기/NNG
년말경	년/NNB + 말/NNB + 경/XSN
년말대	년/NNB + 말/NNB + 대/XSN
년맞이	년/NNB + 맞이/NNG
년반만	년/NNB + 반/NNG + 만/NNB
년사이	년/NNB + 사이/NNG
년선배	년/NNB + 선배/NNG
년선생	년/NNB + 선생/NNG
년여간	년/NNB + 여/XSN + 간/NNG
년여만	년/NNB + 여/XSN + 만/NNB
년여전	년/NNB + 여/XSN + 전/NNG
년여째	년/NNB + 여/XSN + 째/XSN
년여쯤	년/NNB + 여/XSN + 쯤/NNG
년연속	년/NNB + 연속/NNG
년연장	년/NNB + 연장/NNG
년요양	년/NNB + 요양/NNG
년이내	년/NNB + 이내/NNG
년이래	년/NNB + 이래/NNB
년이상	년/NNB + 이상/NNG
年이상	年/SH + 이상/NNG
년이후	년/NNB + 이후/NNG
년전쟁	년/NNB + 전쟁/NNG
년전쯤	년/NNB + 전/NNG + 쯤/XSN
년정도	년/NNB + 정도/NNG
년지기	년/NNB + 지기/NNG
년짜리	년/NNB + 짜리/XSN
년초쯤	년/NNB + 초/NNB + 쯤/XSN
뇌신경	뇌신경/NNG
다래끼	다래끼/NNG
단계설	단계설/NNG
단계씩	단계/NNG + 씩/XSN
단구성	단/NNB + 구성/NNG
단논법	단/NNG + 논법/NNG
단보당	단보/NNB + 당/XSN
단위당	단위/NNG + 당/XSN
단지내	단지/NNG + 내/NNB
단짜리	단/NNB + 짜리/XSN
단체장	단체장/NNG
단층화	단/NNB + 층/NNG + 화/XSN
달러당	달러/NNB + 당/XSN
달러대	달러/NNB + 대/XSN
달러선	달러/NNB + 선/NNG
달러씩	달러/NNB + 씩/XSN
달러쯤	달러/NNB + 쯤/XSN
달여간	달/NNB + 여/XSN + 간/NNG
달체불	달/NNB + 체불/NNG
담당관	담당관/NNG
담배갑	담배/NNG + 갑/NNG
당1회	당/NNG + 1/SN + 회/NNB
당대표	당/NNG + 대표/NNG
당독재	당/NNG + 독재/NNG
당야합	당/NNG + 야합/NNG
당체제	당/NNG + 체제/NNG
당총무	당/NNG + 총무/NNG
당통합	당/NNG + 통합/NNG
당합당	당/NNG + 합당/NNG
黨代表	黨代表/SH
대가수	대/XPN + 가수/NNG
대강령	대/NNB + 강령/NNG
대강령	대/NNG + 강령/NNG
대계열	대/NNG + 계열/NNG
대고질	대/NNG + 고질/NNG
대과제	대/NNG + 과제/NNG
대교장	대/NNB + 교장/NNG
대국회	대/NNB + 국회/NNG
代국회	代/SH + 국회/NNG
대그룹	대/XPN + 그룹/NNG
대기업	대/XPN + 기업/NNG
대기업	대/XSN + 기업/NNG
대대장	대대장/NNG
대덕목	대/XSN + 덕목/NNG
대도시	대/XPN + 도시/NNG
대명장	대/NNG + 명장/NNG
대목표	대/NNG + 목표/NNG
대문안	대문/NNG + 안/NNG
대문화	대/NNB + 문화/NNG
대봉사	대/NNB + 봉사/NNG
대비극	대/NNG + 비극/NNG
대선거	대/NNB + 선거/NNG
대소녀	대/NNB + 소녀/NNG
代소년	代/SH + 소년/NNG
대어족	대/XSN + 어족/NNG
대여자	대/NNB + 여자/NNG
대영장	대/NNB + 영장/NNG
대원칙	대원칙/NNG
대의원	대의원/NNG
代議員	代議員/SH
대의혹	대/NNG + 의혹/NNG
대二代	대/NNB + 二代/SH
대이상	대/NNB + 이상/NNG
대장손	대/NNB + 장손/NNG
대재벌	대/XPN + 재벌/NNG
대제자	대/NNB + 제자/NNG
대조모	대/NNB + 조모/NNG
대조묘	대조/NNG + 묘/NNG
대존속	대/NNB + 존속/NNG
대종단	대/NNG + 종단/NNG
대주부	대/NNB + 주부/NNG
대주주	대주주/NNG
대진미	대/XPN + 진미/NNG
대진사	대/NNB + 진사/NNG
대착복	대/XSN + 착복/NNG
대천왕	대/XPN + 천왕/NNG
대총선	대/NNB + 총선/NNG
대취학	대/NNG + 취학자/NNG +
대학자	대/NNB + 학자/NNG
대회장	대/NNB + 회장/NNG
댓살쯤	댓/NR + 살/NNB + 쯤/XSN
데시벨	데시벨/NNB
도백하	도/NNG + 백하/NNP
도三道	도/NNG + 三道/SH
도선상	도/NNB + 선상/NNG
도의군	도의군/NNG
도짜리	도/NNB + 짜리/XSN
도호부	도호부/NNG
돈짜리	돈/NNB + 짜리/XSN
돌공연	돌/NNB + 공연/NNG
돌기념	돌/NNB + 기념/NNG
돌행사	돌/NNB + 행사/NNG
두서넛	두서넛/NR
등공신	등/NNB + 공신/NNG
등급제	등급/NNG + 제/XSN
등분할	등/NNB + 분할/NNG
등선실	등/NNB + 선실/NNG
등성쯤	등/NNB + 성/NNG + 쯤/NNG
등자리	등/NNB + 자리/NNG
등주자	등/NNB + 주자/NNG
디나르	디나르/NNB
라디오	라디오/NNG
라운드	라운드/NNG
량가구	량/NNB + 가구/NNG
량가구	량/NNG + 가구/NNG
루땅볼	루/NNG + 땅볼/NNG
류광대	류/XSN + 광대/NNG
류국가	류/XSN + 국가/NNG
류수준	류/XSN + 수준/NNG
류인생	류/XSN + 인생/NNG
륜구동	륜/NNG + 구동/NNG
륜마차	륜/NNG + 마차/NNG
리가량	리/NNB + 가량/NNG
리짜리	리/NNB + 짜리/XSN
마디씩	마디/NNG + 씩/XSN
마르크	마르크/NNG
마리뿐	마리/NNB + 뿐/NNB
마리씩	마리/NNB + 씩/XSN
마리아	마리아/NNP
마이크	마이크/NNG
마일간	마일/NNB + 간/NNB
마일당	마일/NNB + 당/XSN
마일씩	마일/NNG + 씩/XSN
마일쯤	마일/NNB + 쯤/NNG
마일쯤	마일/NNB + 쯤/XSN
마장쯤	마장/NNB + 쯤/XSN
마지기	마지기/NNB
막짜리	막/NNB + 짜리/XSN
만ha	만/NR + ha/SL
만kg	만/NR + kg/SL
만km	만/NR + km/SL
만kW	만/NR + kW/SL
만t급	만/NR + t/SL + 급/NNG
만t씩	만/NR + t/SL + 씩/XSN
만가구	만/NR + 가구/NNG
만개소	만/NR + 개소/NNB
만그루	만/NR + 그루/NNB
만년전	만/NR + 년/NNB + 전/NNG
만달러	만/NR + 달러/NNB
만대군	만/NR + 대군/NNG
만대씩	만/NR + 대/NNB + 씩/XSN
만마리	만/NR + 마리/NNB
만마일	만/NR + 마일/NNB
만명당	만/NR + 명/NNB + 당/XSN
만명선	만/NR + 명/NNB + 선/NNG
만명씩	만/NR + 명/NNB + 씩/XSN
만바트	만/NR + 바트/NNP
만배럴	만/NR + 배럴/NNB
만번째	만/NR + 번/NNB + 째/XSN
만봉투	만/NR + 봉투/NNG
만섬당	만/NR + 섬/NNB + 당/XSN
만세대	만/NR + 세대/NNG
만여t	만/NR + 여/XSN + t/SL
만여개	만/NR + 여/XSN + 개/NNB
만여건	만/NR + 여/XSN + 건/NNB
만여권	만/NR + 여/XSN + 권/NNB
만여년	만/NR + 여/XSN + 년/NNB
만여대	만/NR + 여/XSN + 대/NNB
만여명	만/NR + 여/XSN + 명/NNB
만여석	만/NR + 여/XSN + 석/NNB
만여실	만/NR + 여/XSN + 실/NNG
만여원	만/NR + 여/XSN + 원/NNB
만여장	만/NR + 여/XSN + 장/NNB
만여점	만/NR + 여/XSN + 점/NNB
만여정	만/NR + 여/XSN + 정/NNB
만여종	만/NR + 여/XSN + 종/NNG
만여주	만/NR + 여/XSN + 주/NNG
만여컷	만/NR + 여/XSN + 컷/NNG
만여평	만/NR + 여/XSN + 평/NNB
만원권	만/NR + 원/NNB + 권/NNG
만원권	만/NR + 원/NNB + 권/XSN
만원꼴	만/NR + 원/NNB + 꼴/XSN
만원대	만/NR + 원/NNB + 대/NNB
만원선	만/NR + 원/NNB + 선/NNG
만원씩	만/NR + 원/NNB + 씩/XSN
만원외	만/NR + 원/NNB + 외/NNG
만원쯤	만/NR + 원/NNB + 쯤/XSN
만위안	만/NR + 위안/NNB
만유로	만/NR + 유로/NNB
만이상	만/NR + 이상/NNG
만장씩	만/NR + 장/NNB + 씩/XSN
만켤레	만/NR + 켤레/NNB
만피트	만/NR + 피트/NNB
만헤알	만/NR + 헤알/NNG
매짜리	매/NNB + 짜리/XSN
며느리	며느리/NNG
면짜리	면/NNG + 짜리/XSN
명구속	명/NNB + 구속/NNG
명구조	명/NNB + 구조/NNG
명내외	명/NNB + 내외/NNG
명부상	명/NNB + 부상/NNG
명사망	명/NNB + 사망/NNG
명수배	명/NNB + 수배/NNG
명실종	명/NNB + 실종/NNG
명안팎	명/NNB + 안팎/NNG
명이상	명/NNB + 이상/NNG
명정도	명/NNB + 정도/NNG
명확정	명/NNB + 확정/NNG
무1패	무/NNG + 1/SN + 패/NNG
無축구	無/SH + 축구/NNG
문포획	문/NNB + 포획/NNG
문학사	문학/NNG + 사/NNG
문항씩	문항/NNG + 씩/XSN
문화층	문화/NNG + 층/XSN
미터대	미터/NNB + 대/NNG
미터씩	미터/NNB + 씩/XSN
미터쯤	미터/NNB + 쯤/XSN
바라밀	바라밀/NNG
바이알	바이알/NNG
박2일	박/NNB + 2/SN + 일/NNB
박3일	박/NNB + 3/SN + 일/NNB
박4일	박/NNB + 4/SN + 일/NNB
박5일	박/NNB + 5/SN + 일/NNB
박6일	박/NNB + 6/SN + 일/NNB
박8일	박/NNB + 8/SN + 일/NNB
박9일	박/NNB + 9/SN + 일/NNB
박계통	박/NNG + 계통/NNG
박사일	박/NNB + 사/NR + 일/NNB
박삼일	박/NNB + 삼/NR + 일/NNB
박오일	박/NNB + 오/NR + 일/NNB
박이일	박/NNB + 이/NR + 일/NNB
반세기	반세기/NNG
발가락	발가락/NNG
방송사	방송사/NNG
배가량	배/NNG + 가량/NNG
배이상	배/NNG + 이상/NNG
배정도	배/NNG + 정도/NNG
백11	백/NR + 11/SN
백2실	백/NR + 2/SN + 실/NNG
백91	백/NR + 91/SN
백cc	백/NR + cc/SL
백g당	백/NR + g/SL + 당/XSN
백g대	백/NR + g/SL + 대/NNG
백kg	백/NR + kg/SL
백km	백/NR + km/SL
백Km	백/NR + Km/SL
백mm	백/NNG + mm/SL
백MW	백/NR + MW/SL
백m당	백/NR + m/SL + 당/XSN
백m쯤	백/NR + m/SL + 쯤/XSN
백t씩	백/NR + t/SL + 씩/XSN
백가구	백/NR + 가구/NNG
백가지	백/NR + 가지/NNB
백개씩	백/NR + 개/NNB + 씩/XSN
백권씩	백/NR + 권/NNB + 씩/XSN
백그루	백/NR + 그루/NNG
백년간	백/NR + 년/NNB + 간/NNG
백년사	백년사/NNG
百年前	百年前/SH
백년쯤	백/NR + 년/NNB + 쯤/XSN
백달러	백/NR + 달러/NNB
백대당	백/NR + 대/NNB + 당/XSN
백마리	백/NR + 마리/NNB
백마일	백/NR + 마일/NNB
백만t	백만/NR + t/SL
백만개	백만/NR + 개/NNB
백만건	백만/NR + 건/NNB
백만년	백만/NR + 년/NNB
백만단	백만/NR + 단/NNG
백만대	백만/NR + 대/NNB
백만매	백만/NR + 매/NNB
백만명	백만/NR + 명/NNB
백만분	백만/NR + 분/NNG
백만불	백만/NR + 불/NNB
백만石	백만/NR + 石/SH
白萬石	白萬石/SH
百萬石	百萬石/SH
백만섬	백만/NR + 섬/NNB
백만엔	백만/NR + 엔/NNB
백만여	백만/NR + 여/XSN
백만원	백만/NR + 원/NNB
백만인	백만/NR + 인/NNG
백만장	백만/NR + 장/NNB
백만질	백만/NR + 질/NNB
백만톤	백만/NR + 톤/NNB
백만평	백만/NR + 평/NNB
백만호	백만/NR + 호/NNB
백명분	백/NR + 명/NNB + 분/XSN
백명씩	백/NR + 명/NNB + 씩/XSN
백명중	백/NR + 명/NNB + 중/NNB
백명쯤	백/NR + 명/NNB + 쯤/XSN
백미터	백/NR + 미터/NNB
백억t	백억/NR + t/SL
백억엔	백억/NR + 엔/NNB
백억여	백억/NR + 여/XSN
백억원	백억/NR + 원/NNB
百억원	百/SH + 억/NR + 원/NNB
백억평	백억/NR + 평/NNB
백엔당	백/NR + 엔/NNB + 당/XSN
백여m	백/NR + 여/XSN + m/SL
백여t	백/NR + 여/XSN + t/SL
백여개	백/NR + 여/XSN + 개/NNB
백여건	백/NR + 여/XSN + 건/NNB
백여곳	백/NR + 여/XSN + 곳/NNG
백여년	백/NR + 여/XSN + 년/NNB
백여대	백/NR + 여/XSN + 대/NNB
백여리	백/NR + 여/XSN + 리/NNB
백여만	백/NR + 여/XSN + 만/NR
백여명	백/NR + 여/XSN + 명/NNB
백여발	백/NR + 여/XSN + 발/NNB
백여부	백/NR + 여부/NNG
백여석	백/NR + 여/XSN + 석/NNB
백여실	백/NR + 여/XSN + 실/NNB
백여쌍	백/NR + 여/XSN + 쌍/NNG
백여억	백/NR + 여/XSN + 억/NR
백여장	백/NR + 여/XSN + 장/NNB
백여점	백/NR + 여/XSN + 점/NNB
백여종	백/NR + 여/XSN + 종/NNG
백여척	백/NR + 여/XSN + 척/NNB
백여통	백/NR + 여/XSN + 통/NNB
백여팀	백/NR + 여/XSN + 팀/NNG
백여평	백/NR + 여/XSN + 평/NNB
백여표	백/NR + 여/XSN + 표/NNG
백여호	백/NR + 여/XSN + 호/NNB
백여회	백/NR + 여/XSN + 회/NNB
백원당	백/NR + 원/NNB + 당/XSN
백원선	백/NR + 원/NNB + 선/NNG
백원씩	백/NR + 원/NNB + 씩/XSN
백위권	백/NR + 위/NNB + 권/XSN
백일간	백/NR + 일/NNB + 간/NNG
백일분	백/NR + 일/NNB + 분/XSN
백장씩	백/NR + 장/NNB + 씩/XSN
백조원	백조/NR + 원/NNB
백주년	백/NR + 주년/NNB
백켤레	백/NR + 켤레/NNB
백톤급	백/NR + 톤/NNB + 급/NNG
백프랑	백/NR + 프랑/NNB
백海里	백/NR + 海里/SH
백화점	백화점/NNG
백회선	백/NR + 회선/NNG
번국도	번/NNB + 국도/NNG
번시드	번/NNB + 시드/NNG
번우드	번/NNB + 우드/NNG
번이상	번/NNB + 이상/NNG
번째간	번/NNB + 째/XSN + 간/NNG
번째쯤	번/NNB + 째/XSN + 쯤/NNG
번째쯤	번/NNB + 째/XSN + 쯤/XSN
번타자	번/NNB + 타자/NNG
범이것	범/XPN + 이/NNP + 것/NNB
베이징	베이징/NNP
병들이	병/NNG + 들이/XSN
보1배	보/NNB + 1/SN + 배/NNG
보안대	보안대/NNG
보충대	보충/NNG + 대/NNG
보충대	보충대/NNG
복음서	복음서/NNG
부1속	부/NNG + 1/SN + 속/NNB
부경기	부/NNB + 경기/NNG
부능선	부능선/NNG
부단독	부/NNB + 단독/NNG
부리그	부/NNB + 리그/NNG
부부장	부부장/NNG
부속실	부속실/NNG
부요인	부/NNG + 요인/NNG
부장관	부/NNG + 장관/NNG
부종사	부/NNG + 종사/NNG
부짜리	부/NNB + 짜리/XSN
부총리	부총리/NNG
부투어	부/NNB + 투어/NNG
부합동	부/NNG + 합동/NNG
분가량	분/NNB + 가량/NNG
분간격	분/NNB + 간격/NNG
분간씩	분/NNB + 간/NNG + 씩/XSN
분거리	분/NNB + 거리/NNG
분기내	분기/NNG + 내/NNB
분기중	분기/NNG + 중/NNB
분기쯤	분기/NNG + 쯤/XSN
분뉴스	분/NNB + 뉴스/NNG
분동안	분/NNB + 동안/NNG
분발언	분/NNB + 발언/NNG
분법적	분법/NNG + 적/XSN
분사열	분/NNG + 사/NR + 열/NNG
분여간	분/NNB + 여/XSN + 간/NNG
분여만	분여/NNG + 만/NNB
분이내	분/NNB + 이내/NNG
분이상	분/NNB + 이상/NNG
분정도	분/NNB + 정도/NNG
분짜리	분/NNB + 짜리/XSN
분폭리	분/XSN + 폭리/NNG
불짜리	불/NNB + 짜리/XSN
블록슛	블록/NNG + 슛/NNG
비서관	비서관/NNG
비트씩	비트/NNB + 씩/XSN
비트용	비트/NNB + 용/XSN
사나흘	사나흘/NNG
사단장	사단장/NNG
사사구	사사구/NNG
사이즈	사이즈/NNG
사이클	사이클/NNG
사체제	사/NNG + 체제/NNG
사흘째	사흘/NNG + 째/XSN
삭망월	삭망월/NNG
살박이	살/NNB + 박이/XSN
살배기	살/NNB + 배기/XSN
살소녀	살/NNB + 소녀/NNG
살이상	살/NNB + 이상/NNG
살짜리	살/NNB + 짜리/XSN
상자당	상자/NNG + 당/XSN
상회의	상/NNG + 회의/NNG
색과실	색/NNG + 과실/NNG
색과일	색/NNG + 과일/NNG
色선율	色/SH + 선율/NNG
서방님	서방/NNG + 님/XSN
서비스	서비스/NNG
석가량	석/NNB + 가량/NNG
석지기	석/NNB + 지기/NNG
석짜리	석/NNB + 짜리/XSN
선개헌	선/NNG + 개헌/NNG
선거구	선거구/NNG
선고지	선/NNB + 고지/NNG
선생님	선생/NNG + 님/XSN
選手團	選手團/SH
선운동	선/NNG + 운동/NNG
선의원	선/NNB + 의원/NNG
선이상	선/NNG + 이상/NNG
선취임	선/NNG + 취임/NNG
성장군	성/NNG + 장군/NNG
세계적	세계/NNG + 적/XSN
세교육	세/NNB + 교육/NNG
세기간	세기/NNG + 간/NNB
세기간	세기간/NNG
세기경	세기/NNG + 경/XSN
세기께	세기/NNG + 께/XSN
세기만	세기/NNG + 만/NNB
세기말	세기말/NNG
世紀末	世紀末/SH
세기사	세기/NNG + 사/NNG
세기식	세기/NNG + 식/NNB
세기적	세기/NNG + 적/XSN
세기전	세기/NNG + 전/NNG
세기쯤	세기/NNG + 쯤/XSN
세기초	세기/NNG + 초/NNB
세기파	세기/NNG + 파/NNG
세기형	세기/NNG + 형/XSN
世紀化	世紀化/SH
세대중	세대/NNG + 중/NNG
세들이	세/NNB + 들이/XSN
세리씩	세리/NNB + 씩/XSN
세미만	세/NNB + 미만/NNG
세이브	세이브/NNG
세이상	세/NNB + 이상/NNG
세짜리	세/NNB + 짜리/XSN
세출산	세/NNB + 출산/NNG
세포기	세포기/NNG
센트씩	센트/NNB + 씩/XSN
센티쯤	센티/NNB + 쯤/XSN
소경체	소경체/NNG
소대장	소대장/NNG
속정도	속/NNB + 정도/NNG
손가락	손가락/NNG
손자놈	손자/NNG + 놈/NNB
수년간	수년/NNG + 간/NNG
수년만	수년/NNG + 만/NNB
수만원	수만/NR + 원/NNB
수사대	수사대/NNG
수십년	수십/NR + 년/NNB
수차례	수차례/NNG
순노모	순/NNG + 노모/NNG
순노인	순/NNG + 노인/NNG
旬老母	旬老母/SH
순위자	순위자/NNG
순찰차	순찰차/NNG
숟가락	숟가락/NNG
